CUST_ACCT_ID,  TARGET_NET_SALES  ,  TARGET_GROSS_PROFIT  ,YR_MTH
27650,2997,383,4/1/2024
860305,3981,520,4/1/2024
923718,2959,400,4/1/2024
277537,5222,292,4/1/2024
817020,984,120,4/1/2024
910054,1215,136,4/1/2024
617807,3943,520,4/1/2024
638128,10547,678,4/1/2024
364866,984,120,4/1/2024
409533,2055,285,4/1/2024
902047,10728,1513,4/1/2024
99207,990,161,4/1/2024
924895,1485,155,4/1/2024
757289,6042,869,4/1/2024
916898,2997,383,4/1/2024
209061,4491,370,4/1/2024
234084,2398,335,4/1/2024
719642,4349,627,4/1/2024
393532,4933,681,4/1/2024
493498,10324,1527,4/1/2024
874080,4111,610,4/1/2024
90772,7633,770,4/1/2024
293199,4758,624,4/1/2024
448229,1474,109,4/1/2024
656319,3040,444,4/1/2024
555968,1658,122,4/1/2024
359840,3834,372,4/1/2024
570707,4787,663,4/1/2024
10063,5014,723,4/1/2024
455191,10673,1303,4/1/2024
904280,984,120,4/1/2024
202503,15397,808,4/1/2024
821707,4479,293,4/1/2024
986381,18034,1492,4/1/2024
754874,1028,161,4/1/2024
588722,1969,240,4/1/2024
188028,3949,561,4/1/2024
437950,5095,749,4/1/2024
410287,4971,664,4/1/2024
897198,2018,341,4/1/2024
126303,2490,338,4/1/2024
209689,984,120,4/1/2024
885135,7262,1046,4/1/2024
915407,9605,602,4/1/2024
337323,3632,400,4/1/2024
244337,2055,342,4/1/2024
560161,2055,324,4/1/2024
114601,3040,442,4/1/2024
179323,5014,724,4/1/2024
202517,990,161,4/1/2024
596493,1028,144,4/1/2024
115523,5390,800,4/1/2024
769682,984,120,4/1/2024
817560,984,120,4/1/2024
764971,7360,1087,4/1/2024
770992,4067,606,4/1/2024
289988,990,161,4/1/2024
735875,2055,305,4/1/2024
730274,2997,401,4/1/2024
94523,3981,521,4/1/2024
217766,3040,425,4/1/2024
952039,4971,662,4/1/2024
386486,4024,563,4/1/2024
452215,3109,370,4/1/2024
770454,4275,585,4/1/2024
821863,9996,1484,4/1/2024
592530,3002,461,4/1/2024
636345,4803,298,4/1/2024
899564,6665,955,4/1/2024
365879,4030,568,4/1/2024
681759,1973,374,4/1/2024
112009,2205,14,4/1/2024
380384,846,160,4/1/2024
739281,4316,639,4/1/2024
45082,1969,239,4/1/2024
96623,3189,426,4/1/2024
417911,1973,375,4/1/2024
968988,1362920,4378,4/1/2024
52511,1548,226,4/1/2024
685340,3471,480,4/1/2024
695761,1222,88,4/1/2024
359119,6285,880,4/1/2024
894175,8185093,30771,4/1/2024
853339,1691,320,4/1/2024
868188,5111,679,4/1/2024
2624,1969,239,4/1/2024
472573,1691,320,4/1/2024
761534,282,54,4/1/2024
416570,74823,1446,4/1/2024
222389,282,54,4/1/2024
681791,1691,320,4/1/2024
931204,2516,371,4/1/2024
931022,5392,742,4/1/2024
143495,7908,1115,4/1/2024
117390,4673,655,4/1/2024
399323,2876,382,4/1/2024
264413,3040,425,4/1/2024
203590,1974,280,4/1/2024
443662,6384,894,4/1/2024
805616,2997,402,4/1/2024
353028,2964,442,4/1/2024
654664,1813,180,4/1/2024
235268,5347,701,4/1/2024
854425,2018,304,4/1/2024
293468,1969,239,4/1/2024
272015,2012,263,4/1/2024
775390,3045,485,4/1/2024
843053,2012,263,4/1/2024
842888,1028,144,4/1/2024
166184,1969,240,4/1/2024
162803,2997,383,4/1/2024
403442,14571,1270,4/1/2024
224591,5342,765,4/1/2024
911424,8042,1128,4/1/2024
295751,2012,300,4/1/2024
586184,2012,263,4/1/2024
552670,984,120,4/1/2024
747190,414,29,4/1/2024
89384,2997,420,4/1/2024
884380,1366,196,4/1/2024
761469,2772,319,4/1/2024
449437,1969,240,4/1/2024
402308,3987,580,4/1/2024
352676,1969,240,4/1/2024
121586,2997,381,4/1/2024
959498,2997,401,4/1/2024
771669,9910,1386,4/1/2024
303428,7865,906,4/1/2024
182425,2012,264,4/1/2024
335707,1969,240,4/1/2024
195607,15834,630,4/1/2024
386321,5014,742,4/1/2024
396781,4643,642,4/1/2024
776270,3045,448,4/1/2024
821265,1028,144,4/1/2024
626985,3658,502,4/1/2024
183258,2351,319,4/1/2024
498368,16292,1345,4/1/2024
482335,5362,794,4/1/2024
636537,2997,401,4/1/2024
150886,6390,935,4/1/2024
